Copied from https://pokefarm.wiki/List_of_Pok%C3%A9mon/Exclusive_Pok%C3%A9mon
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
Lunupine	Type Dark.png	Lunupine Egg.png	Lunupine.png	Shiny Lunupine.png	Albino Lunupine.png	Melanistic Lunupine.png
IMG Codes		c/q/s/d	m/3/2/i	r/v/o	i/b/r/v	2/o/j/j
Mega Lunupine	Type Dark.pngType Fairy.png		Mega Lunupine.png	Shiny Mega Lunupine.png	Albino Mega Lunupine.png	Melanistic Mega Lunupine.png
IMG Codes			z/u/g/2	8/7/z/y	w/c/e/p	j/i/w/8
Blophin	Type Water.png	Blophin Egg.png	Blophin.png	Shiny Blophin.png	Albino Blophin.png	Melanistic Blophin.png
IMG Codes		q/m/5/u	9/d/s/h	6/n/q/s	v/r/t/l	n/d/1/i
Inflale	Type Water.png		Inflale.png	Shiny Inflale.png	Albino Inflale.png	Melanistic Inflale.png
IMG Codes			o/u/0/u	i/0/a/n	6/m/g/k	8/8/s/5
Orkit	Type Water.png	Orkit Egg.png	Orkit.png	Shiny Orkit.png	Albino Orkit.png	Melanistic Orkit.png
IMG Codes		i/9/v/i	o/z/k/c	9/3/k/b	f/p/d/o	3/f/j/o
Clawed Orkit	Type Water.png		Clawed Orkit.png	Shiny Clawed Orkit.png	Albino Clawed Orkit.png	Melanistic Clawed Orkit.png
IMG Codes			z/k/c/r	x/0/b/c	l/z/v/i	y/x/r/3
Orcalot	Type Water.pngType Steel.png		Orcalot.png	Shiny Orcalot.png	Albino Orcalot.png	Melanistic Orcalot.png
IMG Codes			s/4/n/s	7/x/r/i	9/6/a/x	n/u/4/0
Faemueño	Type Fairy.pngType Flying.png	Faemueno Egg.png	Faemueno.png	Shiny Faemueno.png	Albino Faemueno.png	Melanistic Faemueno.png
IMG Codes		a/t/0/j	u/8/z/t	g/h/w/w	p/z/p/3	p/1/r/f
Faemilarín	Type Fairy.pngType Flying.png		Faemilarin.png	Shiny Faemilarin.png	Albino Faemilarin.png	Melanistic Faemilarin.png
