Copied from https://pokefarm.wiki/List_of_Pok%C3%A9mon/Variant_Pok%C3%A9mon
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
Saiyan Rattata	Type Normal.pngType Fighting.png	Saiyan Rattata Egg.png	Saiyan Rattata.png	Shiny Saiyan Rattata.png	Albino Saiyan Rattata.png	Melanistic Saiyan Rattata.png
IMG Codes		t/7/n/8	1/1/k/0	7/l/h/9	x/u/i/q	4/6/s/d
Super-Saiyan Rattata	Type Normal.pngType Fighting.png		Super Saiyan Rattata.png	Shiny Super Saiyan Rattata.png	Albino Super Saiyan Rattata.png	Melanistic Super Saiyan Rattata.png
IMG Codes			4/y/6/8	l/g/e/v	v/f/r/m	4/e/b/g
Super-Saiyan Raticate	Type Normal.pngType Fighting.png		Super Saiyan Raticate.png	Shiny Super Saiyan Raticate.png	Albino Super Saiyan Raticate.png	Melanistic Super Saiyan Raticate.png
IMG Codes			b/0/9/o	t/s/y/n	3/8/j/z	s/d/1/m
Super-Saiyan 2 Raticate	Type Normal.pngType Fighting.png		Super Saiyan 2 Raticate.png	Shiny Super Saiyan 2 Raticate.png	Albino Super Saiyan 2 Raticate.png	Melanistic Super Saiyan 2 Raticate.png
IMG Codes			x/4/0/k	m/x/g/t	p/r/v/i	w/k/5/3
Super-Saiyan 3 Raticate	Type Normal.pngType Fighting.png		Super Saiyan 3 Raticate.png	Shiny Super Saiyan 3 Raticate.png	Albino Super Saiyan 3 Raticate.png	Melanistic Super Saiyan 3 Raticate.png
IMG Codes			5/u/u/b	s/s/m/d	u/u/f/w	w/r/q/5
Super-Saiyan 4 Raticate	Type Normal.pngType Fighting.png		Super Saiyan 4 Raticate.png	Shiny Super Saiyan 4 Raticate.png	Albino Super Saiyan 4 Raticate.png	Melanistic Super Saiyan 4 Raticate.png
IMG Codes			e/3/j/z	j/6/e/u	d/1/r/5	9/w/t/h
Savage Spearow	Type Fighting.pngType Flying.png	Savage Spearow Egg.png	Savage Spearow.png	Shiny Savage Spearow.png	Albino Savage Spearow.png	Melanistic Savage Spearow.png
IMG Codes		2/2/a/h	k/c/7/8	b/w/e/d	9/p/u/a	t/t/w
Savage Fearow	Type Fighting.pngType Flying.png		Savage Fearow.png	Shiny Savage Fearow.png	Albino Savage Fearow.png	Melanistic Savage Fearow.png
IMG Codes			h/h/8/l	4/n/p/k	8/9/j/y	c/5/d/g
Flying Pichu	Type Electric.png	Flying Pichu Egg.png	Flying Pichu.png	Shiny Flying Pichu.png	Albino Flying Pichu.png	Melanistic Flying Pichu.png
IMG Codes		b/p/l/8	6/2/l/m	e/i/e/n	g/d/y/p	k/r/n/5
Surfing Pichu	Type Electric.png	Surfing Pichu Egg.png	Surfing Pichu.pngFemale Surfing Pichu.png	Shiny Surfing Pichu.pngShiny Female Surfing Pichu.png	Albino Surfing Pichu.pngAlbino Female Surfing Pichu.png	Melanistic Surfing Pichu.pngMelanistic Female Surfing Pichu.png
IMG Codes		q/i/m/w	y/a/4/m 1/b/3/f	3/l/c/r Female p/y/a/x	h/z/1/m Female f/z/e/p	y/t/r/7 Female
Flying Pikachu	Type Electric.png		Flying Pikachu.pngFemale Flying Pikachu.png	Shiny Flying Pikachu.pngShiny Female Flying Pikachu.png	Albino Flying Pikachu.pngAlbino Female Flying Pikachu.png	Melanistic Flying Pikachu.pngMelanistic Female Flying Pikachu.png
IMG Codes			4/2/s/3 Female 2/a/p/n	6/y/o Female q/f/0/6	2/6/t/g Female m/x/6/k	h/z/7/d Female k/8/m/x
Surfing Pikachu	Type Electric.png		Surfing Pikachu.pngFemale Surfing Pikachu.png	Shiny Surfing Pikachu.pngShiny Female Surfing Pikachu.png	Albino Surfing Pikachu.pngAlbino Female Surfing Pikachu.png	Melanistic Surfing Pikachu.pngMelanistic Female Surfing Pikachu.png
IMG Codes			f/g/e/l Female v/5/m/c	z/n/e/a Female 4/p/c/v	l/z/3/f Female r/0/6/p	7/k/l/q Female 3/i/5/3
Snowboarding Pikachu	Type Electric.png		Snowboarding Pikachu.pngFemale Snowboarding Pikachu.png	Shiny Snowboarding Pikachu.pngShiny Female Snowboarding Pikachu.png	Albino Snowboarding Pikachu.pngAlbino Female Snowboarding Pikachu.png	Melanistic Snowboarding Pikachu.pngMelanistic Female Snowboarding Pikachu.png
IMG Codes			7/7/x/i Female l/s/1/7	a/x/2/c Female c/z/t/t	w/2/0/b Female 5/5/8/e	Female g/z/n/e
